date,rating,review
10/10/2022,5 star rating,the most authentic Indian restaurant in London by far. Every dish we had was amazing and reminded me of my home country. Also the atmosphere and vibe is real special. I've gone countless times and have never had a bad meal of substandard service..
12/11/2022,5 star rating,"Wow wow wow.. A very memorable experience and service provided by ALEX at this location on 3rd of November. Alex was attentive and charming, he made sure that my friends and I were well taken care of for the evening. I happen to have a mango allergy but the manager was able to resolve that issue quickly with a special menu that was checked off by the chef with all the dishes that did not have Mango in it. I was grateful and very appreciative of such wonderful gesture and hope the restaurant continues to provide this caliber of service in our future visits. Marvelous time spent and would highly recommend this location to anyone who is visiting London. Thank you Alex! Food was also absolutely delicious, dare I say some of the best Indian cuisine I've had so far? Make reservations if you can to avoid the long long line outside."
11/11/2022,5 star rating,"After having owned the cookbook from Dishoom for a while, I was really excited to try the dishes straight from the origin. I made a reservation for one during lunch hours on a long layover I had in London. A reservation is definitely recommended, by the time I was leaving, there was a line outside. As soon as I walked into the restaurant, I was taken by the gorgeous interiors. You can tell that the decor was carefully picked out and the detailing of every element of the restaurant was beautiful. It's a lovely ambiance to have a meal in. When I sat down, they handed me this cute paper menu that looked like a newspaper. Since I was dining alone, I asked the waitress for her best recommendations. She gave me several options from the small plates, entrees, and breads/rices. I started with the house chai. Then I chose a small plate--the okra fries, an entree--the lamb chops, and a garlic naan to go with it. The chai came out first and that was so delicious; I had 3 glasses (btw, they refill the chai for free!). Then came the okra fries and wow. That was one of the best preparations of okra I've ever tasted. Then my lamb chops and garlic naan came, and if you come here, you HAVE to try the lamb chops. They were cooked to perfection and extremely delicious. The garlic naan I probably could have done without with this dish, it was a bit thin and less fluffy than I was expecting. Overall, I absolutely loved this restaurant. It is a place not to be missed. I look forward to coming back in the future to try more of their dishes."
29/10/2022,5 star rating,The line is always so long here--so get here early. I got in at 6pm on a Friday and waited for about an hour. The food here is amazing! Especially the daal! It's so rich and creamy. The ruby chicken and the vegetable dish that came with buns were great too! It's absolutely worth the wait
14/10/2022,5 star rating,"4.5/5 stars As someone who isn't well versed in Indian food, the menu can be overwhelming. Our waiter was kind enough to explain that the dishes were meant to be shared, and he made recommendations for what dishes would be good. We got a few small plates: the Pau Bhaji (Mashed vegetables with buns) and the lamb samosa. Both of these were excellent. The lamb samosa was so crispy, hot, and flavorful. The Pau Bhaji was new for me. The bun was so fluffy and buttery and was perfect with the mashed vegetables. It just tasted like a herb/spice sauce. For our main entrees, we got the chicken berry biryani (chicken and rice dish) and the mutton pepper fry (curry dish) and added the raita (yogurt sauce). The chicken biryani was quite good, and the chicken was pretty tender. The raita was supposed to be used with the biryani, but it kinda made the dish too cold for my liking. The mutton pepper fry was tender and flavorful! It was spicy, but I was surprisingly able to tolerate it. We ordered garlic naan, which was perfect for scooping all the sauce. It didn't have a strong garlic flavor, and it wasn't piping hot. We also ordered the chili broccoli salad, which was divine! The combination of pistachios, seeds, and dates made the broccoli so tasty! Overall, I enjoyed our meal here and loved trying new foods! We came around 5:15 pm and didn't need to wait for a table, but when we left the restaurant, there was a huge line, so definitely try to go during off peak hours."
27/9/2022,5 star rating,"Food 5/5 Ambiance 5/5 Service 5/5 You'll likely have to wait anywhere from 30 minutes to an hour for a table depending on the timing and your group size, but it's well worth it. They will sometimes pass out drinks to those waiting in line which is a nice touch. The food is stellar, though a bit different from your typical Indian restaurant in that it's more of a small plates style. Since portions are smaller, they recommend at least 2-3 plates per person here. My favorite was the Dishoom House Chaat, a dish that was recommended by our waiter. Note that unlike other Indian restaurants, they don't ask you for a preferred spice level on their dishes, so if you're particularly sensitive to spice, ask your waiter for specific recommendations. Ambiance is lively and there are neat booths downstairs where you can control the music level and (if I remember correctly) the fan as well- something I haven't seen at another restaurant. Bathrooms are also quite nice and clean- something that is always hugely appreciated in a big city like London. I will be making this a regular spot for anytime I'm in London!"
26/9/2022,5 star rating,"It is a chain restaurant but nothing about it lacks the quality. This place is incredible and they need to come to the States! Its Indian cuisines and its has a wide array of options. I feel like this is perfect for people that might be intimidated by Indian food and want to try it for the first time. Theres so much great choices for various diets: vegetarians, vegans, carnivores, etc. My partner is a vegan and she was pleased with all the options. I went with the Ruby Chicken which is essentially a tika masala chicken. Run don't walk to get it. Very delicious and the sauce with some basmati rice is outstanding. The samosas are a great appetizer as well. The gunpowder potatoes was a great side. Never had potatoes that seasoned before. Disroom please please please make your way to New York. They longing for a restaurant like this."
25/10/2022,5 star rating,The food was sooo amazing I forgot to take pictures before I ate it all. Dishoom is an absolute must if you are in london. Make sure you make a reservation or else you will have a wait!!! The ambiance is so nice and the staff is super attentive. The Ruby chicken was amazing. The tandoori chicken was juicy with just the right amount of charcoal grill. The garlic naan was perfect to dip in the sauce. Ugh- I will forever dream about this meal!!!
10/9/2022,5 star rating,"Came here for an early lunch when passing through the UK a while back and wow...the best indian food I have eaten out at a restaurant!! I generally don't eat indian food out because my parents are amazing cooks and we can enjoy good food from the comfort of our home most times. Before I came to the UK, numerous people raved about Dishoom telling me it was a must go! We had a quick stopover in the UK and made it a priority to come here! One thing to note is that they have breakfast hours where they serve a completely different menu from the regular lunch/dinner food. We had showed up early and they were still serving brunch. Call and check this in advance because we ended up waiting over an hour in the restaurant to get lunch food! Nonetheless, the wait was worth it! The ambiance of this spot it really pleasant and unique. We were treated so wonderfully by the staff and service was quite quick once lunch opened. We ordered a few different entrees -- chili chicken, chicken, daal, chicken tikka, and naan. We also got a mango lassi and rice on the side. The food was amazing! Flavors were solid, and meat was tender. I highly recommend all the dishes we ordered because I would 100% order them all again."
28/10/2022,5 star rating,"Allergy friendly restaurant - They went above and beyond to accommodate our allergies and dietary restrictions. There's a separate vegan menu. I received a binder of allergen matrix (excel sheets) to cross reference against allergens and menu items. The chef also marked up a menu for me, crossing out and checking off items that I can(not) have. I wish every place was like this! Our server was also patient and amazing! House chai - Subtly sweet with a strong ginger taste. Love it! My friend tried mine and ended up getting her own for dessert. Chicken ruby with garlic naan - Similar to butter chicken and absolutely delicious! There's a lot of chicken for the small dish. Garlic naan wasn't anything special, could be more garlicky. Murgh Malai - Perfectly seasoned and tender chicken dish but not particularly special. Chicken Berry Britannia - Delicious and definitely would get again! Chef's Covent Garden Special: Tila-Foi's Very Best Masala Fish - Very spicy, and too spicy for me, so it's hard to tell if it's good. Dishoom House Chaat - Delicious! Kind of get the flavors of a Vietnamese Spring Roll. Roti - Nothing special Mango kulfi - Disappointing in presentation. It's just a mango popsicle on a chopstick in a glass cup. Kala Khatta Gola Ice - Very strong on the spice side rather than sweetness. It was not a favorite. We had reservations for a party of 6, booked 1-2 months ahead. We noticed the non-reservation line was down the street!"
